id,indicator_id,unit_id,scenario_rf_id,maturity_id,frequency_id,limit,interval_id
1252,221,NULL,NULL,NULL,NULL,NULL,1
1253,221,NULL,NULL,NULL,NULL,NULL,2
1254,221,NULL,NULL,NULL,NULL,NULL,3
1255,221,NULL,NULL,NULL,NULL,NULL,4
1256,221,NULL,NULL,NULL,NULL,NULL,5
1257,221,NULL,NULL,NULL,NULL,NULL,6
1258,221,NULL,NULL,NULL,NULL,NULL,7
1259,221,NULL,NULL,NULL,NULL,NULL,8
1260,221,NULL,NULL,NULL,NULL,NULL,9
1261,221,NULL,NULL,NULL,NULL,NULL,10
1262,221,NULL,NULL,NULL,NULL,NULL,11
1263,221,NULL,NULL,NULL,NULL,NULL,12
1264,221,NULL,NULL,NULL,NULL,NULL,13
1265,222,NULL,NULL,NULL,NULL,NULL,1
1266,222,NULL,NULL,NULL,NULL,NULL,2
1267,222,NULL,NULL,NULL,NULL,NULL,3
1268,222,NULL,NULL,NULL,NULL,NULL,4
1269,222,NULL,NULL,NULL,NULL,NULL,5
1270,222,NULL,NULL,NULL,NULL,NULL,6
1271,222,NULL,NULL,NULL,NULL,NULL,7
1272,222,NULL,NULL,NULL,NULL,NULL,8
1273,222,NULL,NULL,NULL,NULL,NULL,9
1274,222,NULL,NULL,NULL,NULL,NULL,10
1275,222,NULL,NULL,NULL,NULL,NULL,11
1276,222,NULL,NULL,NULL,NULL,NULL,12
1277,222,NULL,NULL,NULL,NULL,NULL,13
1278,223,NULL,NULL,NULL,NULL,NULL,1
1279,223,NULL,NULL,NULL,NULL,NULL,2
1280,223,NULL,NULL,NULL,NULL,NULL,3
1281,223,NULL,NULL,NULL,NULL,NULL,4
1282,223,NULL,NULL,NULL,NULL,NULL,5
1283,223,NULL,NULL,NULL,NULL,NULL,6
1284,223,NULL,NULL,NULL,NULL,NULL,7
1285,223,NULL,NULL,NULL,NULL,NULL,8
1286,223,NULL,NULL,NULL,NULL,NULL,9
1287,223,NULL,NULL,NULL,NULL,NULL,10
1288,223,NULL,NULL,NULL,NULL,NULL,11
1289,223,NULL,NULL,NULL,NULL,NULL,12
1290,223,NULL,NULL,NULL,NULL,NULL,13
1291,224,NULL,NULL,NULL,NULL,NULL,1
1292,224,NULL,NULL,NULL,NULL,NULL,2
1293,224,NULL,NULL,NULL,NULL,NULL,3
1294,224,NULL,NULL,NULL,NULL,NULL,4
1295,224,NULL,NULL,NULL,NULL,NULL,5
1296,224,NULL,NULL,NULL,NULL,NULL,6
1297,224,NULL,NULL,NULL,NULL,NULL,7
1298,224,NULL,NULL,NULL,NULL,NULL,8
1299,224,NULL,NULL,NULL,NULL,NULL,9
1300,224,NULL,NULL,NULL,NULL,NULL,10
1301,224,NULL,NULL,NULL,NULL,NULL,11
1302,224,NULL,NULL,NULL,NULL,NULL,12
1303,224,NULL,NULL,NULL,NULL,NULL,13
1304,225,NULL,NULL,NULL,NULL,NULL,1
1305,225,NULL,NULL,NULL,NULL,NULL,2
1306,225,NULL,NULL,NULL,NULL,NULL,3
1307,225,NULL,NULL,NULL,NULL,NULL,4
1308,225,NULL,NULL,NULL,NULL,NULL,5
1309,225,NULL,NULL,NULL,NULL,NULL,6
1310,225,NULL,NULL,NULL,NULL,NULL,7
1311,225,NULL,NULL,NULL,NULL,NULL,8
1312,225,NULL,NULL,NULL,NULL,NULL,9
1313,225,NULL,NULL,NULL,NULL,NULL,10
1314,225,NULL,NULL,NULL,NULL,NULL,11
1315,225,NULL,NULL,NULL,NULL,NULL,12
1316,225,NULL,NULL,NULL,NULL,NULL,13
1317,226,NULL,NULL,NULL,NULL,NULL,1
1318,226,NULL,NULL,NULL,NULL,NULL,2
1319,226,NULL,NULL,NULL,NULL,NULL,3
1320,226,NULL,NULL,NULL,NULL,NULL,4
1321,226,NULL,NULL,NULL,NULL,NULL,5
1322,226,NULL,NULL,NULL,NULL,NULL,6
1323,226,NULL,NULL,NULL,NULL,NULL,7
1324,226,NULL,NULL,NULL,NULL,NULL,8
1325,226,NULL,NULL,NULL,NULL,NULL,9
1326,226,NULL,NULL,NULL,NULL,NULL,10
1327,226,NULL,NULL,NULL,NULL,NULL,11
1328,226,NULL,NULL,NULL,NULL,NULL,12
1329,226,NULL,NULL,NULL,NULL,NULL,13
1330,227,NULL,NULL,NULL,NULL,NULL,1
1331,227,NULL,NULL,NULL,NULL,NULL,2
1332,227,NULL,NULL,NULL,NULL,NULL,3
1333,227,NULL,NULL,NULL,NULL,NULL,4
1334,227,NULL,NULL,NULL,NULL,NULL,5
1335,227,NULL,NULL,NULL,NULL,NULL,6
1336,227,NULL,NULL,NULL,NULL,NULL,7
1337,227,NULL,NULL,NULL,NULL,NULL,8
1338,227,NULL,NULL,NULL,NULL,NULL,9
1339,227,NULL,NULL,NULL,NULL,NULL,10
1340,227,NULL,NULL,NULL,NULL,NULL,11
1341,227,NULL,NULL,NULL,NULL,NULL,12
1342,227,NULL,NULL,NULL,NULL,NULL,13
1343,228,NULL,NULL,NULL,NULL,NULL,1
1344,228,NULL,NULL,NULL,NULL,NULL,2
1345,228,NULL,NULL,NULL,NULL,NULL,3
1346,228,NULL,NULL,NULL,NULL,NULL,4
1347,228,NULL,NULL,NULL,NULL,NULL,5
1348,228,NULL,NULL,NULL,NULL,NULL,6
1349,228,NULL,NULL,NULL,NULL,NULL,7
1350,228,NULL,NULL,NULL,NULL,NULL,8
1351,228,NULL,NULL,NULL,NULL,NULL,9
1352,228,NULL,NULL,NULL,NULL,NULL,10
1353,228,NULL,NULL,NULL,NULL,NULL,11
1354,228,NULL,NULL,NULL,NULL,NULL,12
1355,228,NULL,NULL,NULL,NULL,NULL,13
1356,229,NULL,NULL,NULL,NULL,NULL,1
